阿弥陀佛,#genre#
星空卫视,http://107.151.203.111:2209/135/hk.php?id=xkwst
🍆地方频道,#genre#
凤凰中文HD,http://107.151.203.111:2209/135/hk.php?id=fhzw
凤凰资讯HD,http://107.151.203.111:2209/135/hk.php?id=fhzx
无线财经,http://107.151.203.111:2209/135/hk.php?id=tvbcjtyt
翡翠台,http://107.151.203.111:2209/135/hk.php?id=tvbfct
明珠台,http://107.151.203.111:2209/135/hk.php?id=tvbmzt
重庆新闻,http://iptv.cooltv.top/tv/cqtv.php?id=3
晋中综合,http://jzlive.jztvnews.com:90/live/jzzh.m3u8
晋中公共,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
山西社会与法治,http://iptv.cooltv.top/tv/cutv.php?id=sxkj
黄河电视台,http://iptv.cooltv.top/tv/cutv.php?id=sxhh
山西经济与科技,http://iptv.cooltv.top/tv/cutv.php?id=sxjj
山西影视,http://iptv.cooltv.top/tv/cutv.php?id=sxys
山西文体生活,http://iptv.cooltv.top/tv/cutv.php?id=sxgg
上海教育台,http://iptv.cooltv.top/tv/setv.php
昆明教育台,https://pili-live-hls-kmjy.tianma3600.com/kmjy/kmjy.m3u8
江西教育台,https://live.jxeduyun.com/streams/5e05b4659858d.m3u8
广州法治,http://iptv.cooltv.top/tv/guangzhou.php?id=gzfz
广州影视,http://iptv.cooltv.top/tv/guangzhou.php?id=gzys
广州新闻,http://iptv.cooltv.top/tv/guangzhou.php?id=gzxw
广州竞赛,http://iptv.cooltv.top/tv/guangzhou.php?id=gzjs
广州南国都市,http://iptv.cooltv.top/tv/guangzhou.php?id=gzsh
四川新闻,http://120.221.180.152/scgctvshow.sctv.com/hdlive/sctv48f9fb5888dedbe0c6a1b/1.m3u8
四川经济,http://120.221.180.152/scgctvshow.sctv.com/hdlive/sctv28f9fb5888dedbe0c6a1b/1.m3u8
四川文化旅游,http://120.221.180.152/scgctvshow.sctv.com/hdlive/sctv38f9fb5888dedbe0c6a1b/1.m3u8
四川影视文艺,http://120.221.180.152/scgctvshow.sctv.com/hdlive/sctv58f9fb5888dedbe0c6a1b/1.m3u8
四川妇女儿童,http://120.221.180.152/scgctvshow.sctv.com/hdlive/sctv78f9fb5888dedbe0c6a1b/1.m3u8
四川乡村,http://120.221.180.152/scgctvshow.sctv.com/hdlive/sctv98f9fb5888dedbe0c6a1b/1.m3u8
四川星空购物,http://120.221.180.152/scgctvshow.sctv.com/hdlive/sctv68f9fb5888dedbe0c6a1b/1.m3u8
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
之江纪录,http://hw-m-l.cztv.com/channels/lantian/channel12/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
合肥故事休闲,http://iptv.cooltv.top/tv/hfcatv.php?id=191
南宁新闻综合,http://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8
南宁都市生活,http://hls.nntv.cn/nnlive/NNTV_METRO_A.m3u8
南宁影视娱乐,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
南宁公共,http://hls.nntv.cn/nnlive/NNTV_PUB_A.m3u8
苏州新闻综合,https://liveshowbak2.kan0512.com/norecord/norecord_csztv1/playlist.m3u8
苏州社会经济,https://liveshowbak2.kan0512.com/norecord/norecord_csztv2/playlist.m3u8
苏州电影娱乐信息,https://liveshowbak2.kan0512.com/norecord/ncsztv4_sd/playlist.m3u8
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
无锡新闻综合,http://m.m3u8.wifiwx.com/live/wifiwx-239.m3u8
无锡都市资讯,http://m.m3u8.wifiwx.com/live/wifiwx-240.m3u8
无锡娱乐,http://m.m3u8.wifiwx.com/live/wifiwx-243.m3u8
无锡生活,http://m.m3u8.wifiwx.com/live/wifiwx-244.m3u8
无锡经济,http://m.m3u8.wifiwx.com/live/wifiwx-245.m3u8
湖北综合,http://iptv.cooltv.top/tv/cjy.php?id=hbzh
湖北公共新闻,http://iptv.cooltv.top/tv/cjy.php?id=hbgg
湖北经视,http://iptv.cooltv.top/tv/cjy.php?id=hbjs
湖北教育,http://iptv.cooltv.top/tv/cjy.php?id=hbjy
湖北垄上,http://iptv.cooltv.top/tv/cjy.php?id=hbls
湖北生活,http://iptv.cooltv.top/tv/cjy.php?id=hbsh
湖北影视,http://iptv.cooltv.top/tv/cjy.php?id=hbys
深圳都市,http://iptv.cooltv.top/tv/sztv.php?id=szds
深圳电视剧,http://iptv.cooltv.top/tv/sztv.php?id=szdsj
深圳公共,http://iptv.cooltv.top/tv/sztv.php?id=szgg
深圳财经生活,http://iptv.cooltv.top/tv/sztv.php?id=szcjsh
深圳娱乐,http://iptv.cooltv.top/tv/sztv.php?id=szyl
深圳少儿,http://iptv.cooltv.top/tv/sztv.php?id=szse
深圳移动电视,http://iptv.cooltv.top/tv/sztv.php?id=szyd
深圳体育健康,http://iptv.cooltv.top/tv/sztv.php?id=sztyjk
深圳国际,http://iptv.cooltv.top/tv/sztv.php?id=szgj
深圳DV生活,http://iptv.cooltv.top/tv/sztv.php?id=szdvsh
常州新闻综合,http://iptv.cooltv.top/tv/cztv.php?id=czxwzh
常州都市,http://iptv.cooltv.top/tv/cztv.php?id=czds
常州生活,http://iptv.cooltv.top/tv/cztv.php?id=czsh
常州公共,http://iptv.cooltv.top/tv/cztv.php?id=czgg
山东齐鲁,http://iptv.cooltv.top/tv/shandong.php?id=qlpd
山东体育,http://iptv.cooltv.top/tv/shandong.php?id=typd
山东生活,http://iptv.cooltv.top/tv/shandong.php?id=shpd
山东综艺,http://iptv.cooltv.top/tv/shandong.php?id=zypd
山东新闻,http://iptv.cooltv.top/tv/shandong.php?id=ggpd
山东农科,http://iptv.cooltv.top/tv/shandong.php?id=nkpd
山东文旅,http://iptv.cooltv.top/tv/shandong.php?id=yspd
山东少儿,http://iptv.cooltv.top/tv/shandong.php?id=sepd
山东居家购物,http://iptv.cooltv.top/tv/shandong.php?id=gwpd
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
绍兴公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
西安新闻综合,http://stream2.xiancity.cn/xatv1/playlist.m3u8
西安都市,http://stream2.xiancity.cn/xatv2/playlist.m3u8
西安商务资讯,http://stream2.xiancity.cn/xatv3/playlist.m3u8
西安影视,http://stream2.xiancity.cn/xatv4/playlist.m3u8
西安丝路,http://stream2.xiancity.cn/xatv5/playlist.m3u8
房山电视台,https://live.funhillrm.com/2/playlist.m3u8
石景山电视台,http://live.sjsrm.com/bjsjs/sd/live.m3u8
浙江钱江都市,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8?zzhed
浙江钱江都市,http://hw-m-l.cztv.com/channels/lantian/channel02/720p.m3u8?zzhed
浙江钱江都市,http://hw-m-l.cztv.com/channels/lantian/channel02/360p.m3u8?zzhed
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8?zzhed
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel03/720p.m3u8?zzhed
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel03/360p.m3u8?zzhed
浙江教科影院,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8?zzhed
浙江教科影院,http://hw-m-l.cztv.com/channels/lantian/channel04/720p.m3u8?zzhed
浙江教科影院,http://hw-m-l.cztv.com/channels/lantian/channel04/360p.m3u8?zzhed
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?zzhed
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel06/720p.m3u8?zzhed
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel06/360p.m3u8?zzhed
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8?zzhed
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/720p.m3u8?zzhed
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/360p.m3u8?zzhed
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8?zzhed
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/720p.m3u8?zzhed
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/360p.m3u8?zzhed
数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8?zzhed
数码时代,http://hw-m-l.cztv.com/channels/lantian/channel12/720p.m3u8?zzhed
数码时代,http://hw-m-l.cztv.com/channels/lantian/channel12/360p.m3u8?zzhed
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8?zzhed
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8?zzhed
绍兴文化影院,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8?zzhed
金华新闻综合,http://live.plus.jinhua.com.cn/xwzh/playlist.m3u8?zzhed
金华教育科技,http://live.plus.jinhua.com.cn/jykj/playlist.m3u8?zzhed
金华公共频道,http://live.plus.jinhua.com.cn/jjsh/playlist.m3u8?zzhed
金华都市农村,http://live2.plus.jinhua.com.cn/dsnc/playlist.m3u8?zzhed
舟山新闻综合,http://live1.plus.wifizs.cn/xwzh/sd/live.m3u8?zzhed
舟山公共生活,http://live1.plus.wifizs.cn/ggsh/sd/live.m3u8?zzhed
舟山群岛旅游,http://live1.plus.wifizs.cn/qdly/sd/live.m3u8?zzhed
湖州新闻综合,http://live.plus.hugd.com/xwzhpd/sd/live.m3u8?zzhed
湖州公共民生,http://live1.plus.hugd.com/ggpd1/sd/live.m3u8?zzhed
湖州文化娱乐,http://live.plus.hugd.com/whylpd/sd/live.m3u8?zzhed
嘉兴新闻综合,http://pluslive.jiaxingren.com/xwzh/sd/live.m3u8?zzhed
武义新闻综合,http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8?zzhed
平湖新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8?zzhed
平湖民生休闲,http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8?zzhed
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8?zzhed
萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed
淳安电视台,https://wtmtyoutlive.watonemt.com/f2p7vq/lf76v9.m3u8?zzhed
桐庐综合频道,http://livetongl.chinamcache.com/live/tlzb01.m3u8?txSecret=2ee28a051ebfb1b0771869a7d652d4a9&txTime=639a8391?zzhed
余杭综合频道,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8?zzhed
余杭未来E频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8?zzhed
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8?zzhed
余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8?zzhed
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8?zzhed
上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8?zzhed
上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8?zzhed
上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8?zzhed
海宁新闻综合,http://live.hndachao.cn/xwzh/sd/live.m3u8?zzhed
海宁生活服务,http://live.hndachao.cn/shfw/sd/live.m3u8?zzhed
兰溪新闻综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8?zzhed
苏州新闻综合,https://liveshowbak2.kan0512.com/norecord/ncsztv1_sd/playlist.m3u8?zjiangsd
苏州社会经济,https://liveshowbak2.kan0512.com/norecord/ncsztv2_sd/playlist.m3u8?zjiangsd
苏州文化生活,https://liveshowbak2.kan0512.com/norecord/ncsztv3_sd/playlist.m3u8?zjiangsd
苏州生活资讯,https://liveshowbak2.kan0512.com/norecord/ncsztv5_sd/playlist.m3u8?zjiangsd
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8?zjiangsd
南通影院娱乐,http://cm.wshls.homecdn.com/live/7cc5.m3u8?zjiangsd
南通影院娱乐,http://cm.wshls.homecdn.com/live/7cc5.flv?zjiangsd
南通崇川综合,http://cm.wshls.homecdn.com/live/7cc1.m3u8?zjiangsd
南通崇川综合,http://cm.wshls.homecdn.com/live/7cc1.flv?zjiangsd
盐城新闻综合,http://stream.0515yc.cn/yctv1/playlist.m3u8?zjiangsd
盐城法制生活,http://stream.0515yc.cn/yctv2/playlist.m3u8?zjiangsd
盐城城市公共,http://stream.0515yc.cn/yctv3/playlist.m3u8?zjiangsd
淮安新闻综合,http://live1.habctv.com/zhpdsl/sd/live.m3u8?zjiangsd
淮安公共频道,http://live1.habctv.com/ggpdsl/sd/live.m3u8?zjiangsd
淮安影院娱乐,http://live1.habctv.com/ysylsl/sd/live.m3u8?zjiangsd
无锡新闻综合,http://m.m3u8.wifiwx.com/live/wifiwx-239.m3u8?zjiangsd
无锡新闻综合,http://stream.thmz.com/wxtv1/sd/live.m3u8?zjiangsd
无锡娱乐,http://m.m3u8.wifiwx.com/live/wifiwx-243.m3u8?zjiangsd
无锡娱乐,http://stream.thmz.com/wxtv2/sd/live.m3u8?zjiangsd
无锡都市资讯,http://m.m3u8.wifiwx.com/live/wifiwx-240.m3u8?zjiangsd
无锡都市资讯,http://stream.thmz.com/wxtv3/sd/live.m3u8?zjiangsd
无锡生活,http://m.m3u8.wifiwx.com/live/wifiwx-244.m3u8?zjiangsd
无锡生活,http://stream.thmz.com/wxtv4/sd/live.m3u8?zjiangsd
无锡经济,http://m.m3u8.wifiwx.com/live/wifiwx-245.m3u8?zjiangsd
无锡经济,http://stream.thmz.com/wxtv5/sd/live.m3u8?zjiangsd
张家港新闻综合,http://3gvod.zjgonline.com.cn:1935/live/xinwenzonghe2/playlist.m3u8?zjiangsd
张家港民生频道,http://3gvod.zjgonline.com.cn:1935/live/shehuishenghuo2/playlist.m3u8?zjiangsd
滨海新闻综合,http://jsbh.chinashadt.com:2036/live/bh11.stream/playlist.m3u8?zjiangsd
大丰公共频道,http://dafeng-tv-hls.cm.jstv.com/dafeng-tv/dafenget.m3u8?zjiangsd
东台综合频道,http://dongtai-tv-hls.cm.jstv.com/dongtai-tv/dongtaizonghe.m3u8?zjiangsd
盐都综合频道,http://yandu-tv-hls.cm.jstv.com/yandu-tv/yanduzh.m3u8?zjiangsd
如东新闻综合,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8?zjiangsd
江宁新闻频道,https://jiangning-tv-hls.cm.jstv.com/jiangning-tv/jnxwzh.m3u8?zjiangsd
溧水新闻综合,http://live.lsrmw.cn/zhpd/sd/live.m3u8?zjiangsd
溧水影院娱乐,http://live.lsrmw.cn/ysyl/sd/live.m3u8?zjiangsd
铜山综合频道,http://stream.tstvxmt.com/tstv1/sd/live.m3u8?zjiangsd
铜山三农频道,http://stream.tstvxmt.com/ts3/sd/live.m3u8?zjiangsd
宜兴新闻频道,http://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_xw.m3u8?zjiangsd
宜兴紫砂频道,http://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_zs.m3u8?zjiangsd
淮阴综合频道,http://huaiyin-tv-hls.cm.jstv.com/huaiyin-tv/huaiyinf.m3u8?zjiangsd
淮阴影院频道,http://huaiyin-tv-hls.cm.jstv.com/huaiyin-tv/hyys.m3u8?zjiangsd
金湖新闻综合,http://jinhu-tv-hls.cm.jstv.com/jinhu-tv/jinhuzh.m3u8?zjiangsd
金坛新闻频道,http://jintan-tv-ori-hls.jstv.com/jintan-tv-ori/jintan_xw.m3u8?zjiangsd
武进新闻频道,https://live.wjyanghu.com/live/CH1.m3u8?zjiangsd
武进生活频道,https://live.wjyanghu.com/live/CH2.m3u8?zjiangsd
海安新闻综合,http://haian-tv-hls.cm.jstv.com/haian-tv/haaxwzh.m3u8?zjiangsd
新沂新闻频道,http://live.xysrmt.cn/xwzh/sd/live.m3u8?zjiangsd
泗洪新闻综合,http://sihong-tv-hls.cm.jstv.com/sihong-tv/sihongxinwenzonghe.m3u8?zjiangsd
句容新闻综合,http://jrlive.jrntv.com/live/_definst_/jrxwzhs/playlist.m3u8?zjiangsd
句容生活频道,http://jrlive.jrntv.com/live/_definst_/shenghuos/playlist.m3u8?zjiangsd
句容影院频道,http://jrlive.jrntv.com/live/_definst_/yingshis/playlist.m3u8?zjiangsd
句容党建频道,http://jrlive.jrntv.com/live/_definst_/dangjians/playlist.m3u8?zjiangsd
常熟新闻频道,http://play-live.21cs.cn/tv_channel/cstv1.m3u8?auth_key=1592026485-f871ffb1e3b646d59dba799b1e6f3d61-0-53bbc432233cf87b39a6ec67a23981c3?zjiangsd
常熟民生频道,http://play-live.21cs.cn/tv_channel/cstv2.m3u8?auth_key=1608898309-c151073d455d41568920a185f794ce70-0-24c93261a31cc28cf1ae2aced18ae008?zjiangsd
睢宁综合频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningzh.m3u8?zjiangsd
睢宁生活教育,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsh.m3u8?zjiangsd
睢宁三农频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsn.m3u8?zjiangsd
睢宁资讯频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningys.m3u8?zjiangsd
姜堰新闻综合,https://jiangyan-tv-hls.cm.jstv.com/jiangyan-tv/jiangyanzh.m3u8?zjiangsd
沭阳综合频道,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8?zjiangsd
扬中新闻频道,http://yangzhong-tv-hls.cm.jstv.com/yangzhong-tv/xwzh.m3u8?zjiangsd
扬中党建民生,http://yangzhong-tv-hls.cm.jstv.com/yangzhong-tv/yzdj.m3u8?zjiangsd
靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhpc/playlist.m3u8?zjiangsd
靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8?zjiangsd
东海新闻频道,http://donghai-tv-hls.cm.jstv.com/donghai-tv/donghaixinwensp.m3u8?zjiangsd
高邮综合频道,http://gaoyou-tv-hls.cm.jstv.com/gaoyou-tv/gaoyouxw.m3u8?zjiangsd
仪征新闻综合,http://yizheng-tv-hls.cm.jstv.com/yizheng-tv/yzxwzh.m3u8?zjiangsd
仪征生活频道,http://yizheng-tv-hls.cm.jstv.com/yizheng-tv/yzshsh.m3u8?zjiangsd
贾汪新闻频道,http://jiawang-tv-hls.cm.jstv.com/jiawang-tv/jwxw.m3u8?zjiangsd
贾汪旅游频道,http://jiawang-tv-hls.cm.jstv.com/jiawang-tv/jwly.m3u8?zjiangsd
沛县新闻综合,http://peixian-tv-hls.cm.jstv.com/peixian-tv/pxzh.m3u8?zjiangsd
泗阳综合频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzh.m3u8?zjiangsd
泗阳资讯频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8?zjiangsd
赣榆新闻综合,http://ganyu-tv-hls.cm.jstv.com/ganyu-tv/ganyutv.m3u8?zjiangsd
济南教育,http://livejnedu.chinamcache.com/live/jneduzb01.m3u8?shandd
济南鲁中,https://quehuamtyoutlive.ijntv.cn/j8pukt/452907.m3u8
青岛城阳,http://pili-live-rtmp.56.i2863.com/i2863-56/live_56_307317.m3u8?shandd
日照新闻综合,http://live.rzw.com.cn/xwzh/sd/live.m3u8?shandd
日照公共,http://live.rzw.com.cn/kzpd/sd/live.m3u8?shandd
日照科教,http://live.rzw.com.cn/ggpd/sd/live.m3u8?shandd
烟台新闻综合,http://live.yantaitv.cn/live/3e81a8879da44c5dadf3bd9c10468e1c/9b776d420ee4438199b7657c8eb88f07-1.m3u8?shandd
烟台公共,http://live.yantaitv.cn/live/e50f104a4ffe4a41b2217cbda534146f/d86092e69df94668b33390278b061700-1.m3u8?shandd
烟台经济科技,http://live.yantaitv.cn/live/27f84144e95a4652ae9e5c211b2a6b55/405f3e33ba384aa0a16014d0becd1261-1.m3u8?shandd
烟台影,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129-1.m3u8
枣庄新闻综合,http://stream.zztvzd.com/1/sd/live.m3u8?shandd
枣庄教育,http://stream.zztvzd.com/2/sd/live.m3u8?shandd
枣庄公共,http://stream.zztvzd.com/3/sd/live.m3u8?shandd
东营综合,http://stream.hhek.cn/xwzh/sd/live.m3u8?shandd
东营公共,http://stream.hhek.cn/ggpd/sd/live.m3u8?shandd
东营科教,http://stream.hhek.cn/dyjy/sd/live.m3u8?shandd
滨州新闻综合,http://stream.bzcm.net/2/sd/live.m3u8?shandd
滨州公共,http://stream.bzcm.net/1/sd/live.m3u8?shandd
青州综合,http://sdqz.chinashadt.com:2036/live/stream:1.stream/playlist.m3u8?shandd
青州文化旅游,http://sdqz.chinashadt.com:2036/live/stream:3.stream/playlist.m3u8?shandd
岱岳综合,http://slvedio.slradio.cn/a935908a217711ea8bb000163e0e6522/4D6357B92240C088F3612E43E44B5F1D.m3u8?shandd
金鹰纪实,http://39.135.138.58:18890/ysten-businessmobile/live/SD-4000k-576P-jinyingjs/1.m3u8?zhund
娄底综合频道,http://119.39.242.52:1935/live/zonghe/playlist.m3u8?zhund
衡阳新闻综合,http://59.51.68.40:1936/live/2.stream/playlist.m3u8?zhund
衡阳新闻综合,http://hnhs.chinashadt.com:1936/hnhs/tv5.stream/playlist.m3u8?zhund
衡阳公共频道,http://59.51.68.40:1936/live/3.stream/playlist.m3u8?zhund
宁乡综合频道,http://b.ds.ch.dingtoo.com/AppName/StreamName.m3u8?zhund
永顺综合频道,http://liveplay.rednet.cn/live/yongshun_tv_55433f.m3u8?zhund
湘潭县综合,http://21084.liveplay.myqcloud.com/live/21084_13241b8296ee11e892905cb9018cf0d4.m3u8?zhund
洪江市综合,http://liveplay.rednet.cn/live/hongjiang_tv_ced5a7.m3u8?zhund
南充新闻,http://tv.drs.ncntv.com.cn:8100/channellive/nczhpd.flv?zsicd
南充公共,http://tv.drs.ncntv.com.cn:8100/channellive/ncggpd.flv?zsicd
南充科教,http://tv.drs.ncntv.com.cn:8100/channellive/nckjpd.flv
乐山新闻综合,http://channellive.leshantv.net/live/ch1.flv?zsicd
乐山公共,http://channellive.leshantv.net/live/ch2.flv?zsicd
广安公共,http://live1.gatv.com.cn:85/live/GGPD_ggpdzm.m3u8?zsicd
广元综合,http://tv.dzsm.com:8100/chan/ch1.flv?zsicd
凉山新闻综合,http://file.yizu.tv/nmip-media/channellive/channel106606/playlist.m3u8?zsicd
凉山新闻综合,http://m3u8.channel.i0834.cn/nmpi-media/channellive/channel114103/playlist.m3u8?zsicd
凉山语,http://file.yizu.tv/nmip-media/channellive/channel107323/playlist.m3u8?zsicd
凉山语,http://m3u8.channel.i0834.cn/nmpi-media/channellive/channel115044/playlist.m3u8?zsicd
自贡综合,http://110.189.153.160:1001/zhpd.flv?zsicd
自贡公共,http://110.189.153.160:1002/ggpd.flv?zsicd
德阳新闻综合,http://scdytv.cn:1935/live/m_xwpd_livevideo/playlist.m3u8?zsicd
德阳公共,http://scdytv.cn:1935/live/m_ggpd_livevideo/playlist.m3u8?zsicd
攀枝花新闻综合,http://zb.pzhgd.com:9095/live/xwzh.m3u8?zsicd
攀枝花公共,http://zb.pzhgd.com:9095/live/ggpd.m3u8?zsicd
眉山综合,http://live1.scmstv.cn/gqpd/sd/live.m3u8?zsicd
眉山公共,http://live2.scmstv.cn/ggpd/sd/live.m3u8?zsicd
甘孜综合,http://tv.drs.ganzitv.com:8100/channellive/gztv.flv?zsicd
